Class,Species,Count
FF,Vulpicida tilesii,1
DM,Vulpicida tilesii,0
MM,Vulpicida tilesii,0
FF,Acarospora shleicheri,0
DM,Acarospora shleicheri,2
MM,Acarospora shleicheri,0
FF,Acarospora shleicheri,0
DM,Acarospora shleicheri,2
MM,Acarospora shleicheri,0
FF,Diploshistes scruposis,0
DM,Diploshistes scruposis,5
MM,Diploshistes scruposis,0
FF,Ochrolechia upsaliensis,1
DM,Ochrolechia upsaliensis,2
MM,Ochrolechia upsaliensis,0
FF,Flavocetraria cucullata,0
DM,Flavocetraria cucullata,4
MM,Flavocetraria cucullata,1
FF,Peltigera sp.,0
DM,Peltigera sp.,5
MM,Peltigera sp.,1
FF,Flavocetraria nivalis,0
DM,Flavocetraria nivalis,9
MM,Flavocetraria nivalis,1
FF,Megaspora verrucosa,0
DM,Megaspora verrucosa,1
MM,Megaspora verrucosa,1
