Plot ,Class,Species,Cover,Presence
1,Barren,NA,,0
2,Moist Meadow,Cladonia sp.,0.02,1
3,Moist Meadow,NA,,0
4,Moist Meadow,Cladonia sp.,0.07,1
5,Barren,Cladonia sp.,0.005,1
6,Snow Bank,Cladonia sp.,0.02,1
7,Wet Meadow,Thamnolia vermicularis,0.05,1
7,Wet Meadow,Cetraria aculeata,0.05,1
7,Wet Meadow,Cetraria islandica ,0.05,1
7,Wet Meadow,Cladonia sp.,0.03,1
8,Moist Meadow,Cladonia sp.,0.01,1
9,Dry Meadow,Thamnolia vermicularis,0.06,1
9,Dry Meadow,Cetraria aculeata,0.03,1
9,Dry Meadow,Candelariella sp.,0.005,1
9,Dry Meadow,Cladonia sp.,0.03,1
9,Dry Meadow,Unk. 2,0.05,1
9,Dry Meadow,Xanthoparmelia chlorochroa,0.03,1
9,Dry Meadow,Cetraria islandica ,0.03,1
10,Fellfield,Allocetraria madreporoformis,0.01,1
10,Fellfield,Xanthoparmelia chlorochroa,0.03,1
10,Fellfield,Unk. 2,0.05,1
10,Fellfield,Arthonia glebosa,0.01,1
10,Fellfield,Cetraria aculeata,0.01,1
10A,Fellfield,Unk. 2,0.1,1
10A,Fellfield,Xanthoparmelia chlorochroa,0.02,1
10A,Fellfield,Ochrolechia upsaliensis,0.02,1
10A,Fellfield,Allocetraria madreporoformis,0.01,1
10A,Fellfield,Cladonia sp.,0.02,1
10A,Fellfield,Cetraria aculeata,0.005,1
20A,Fellfield,Xanthoparmelia chlorochroa,0.03,1
20A,Fellfield,Candelariella sp.,0.005,1
20A,Fellfield,Unk. 2,0.05,1
20A,Fellfield,Cladonia sp.,0.02,1
20A,Fellfield,Cetraria aculeata,0.01,1
20A,Fellfield,Allocetraria madreporoformis,0.01,1
20A,Fellfield,Phaeophyscia constipata,0.01,1
20A,Fellfield,Stereocaulon cumulatum,0.02,1
20,Fellfield,Unk. 2,0.04,1
20,Fellfield,Vulpicida tilesii,0.01,1
20,Fellfield,Cladonia sp.,0.02,1
20,Fellfield,Cetraria aculeata,0.01,1
20,Fellfield,Allocetraria madreporoformis,0.02,1
20,Fellfield,Xanthoparmelia chlorochroa,0.03,1
20,Fellfield,Candelariella sp.,0.005,1
20,Fellfield,Thamnolia vermicularis,0.05,1
19,Fellfield,Thamnolia vermicularis,0.07,1
19,Fellfield,Xanthoparmelia chlorochroa,0.07,1
19,Fellfield,Allocetraria madreporoformis,0.03,1
19,Fellfield,Cetraria aculeata,0.03,1
19,Fellfield,Cladonia sp.,0.02,1
19,Fellfield,Phaeophyscia constipata,0.005,1
19,Fellfield,Cetraria islandica ,0.01,1
